stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
1780,QUASIMODO 1/FINALE,,44.429913,8.792218,,,Via Salvatore Quasimodo,Genoa,Regione Liguria,16100
1781,QUASIMODO 2/,,44.432003,8.792702,,,Via Salvatore Quasimodo,Genoa,Regione Liguria,16100
1782,PAVESE 1/,,44.431648,8.793368,,,Via Cesare Pavese,Genoa,Regione Liguria,16100
1783,PAVESE 2/,,44.429821,8.793258,,,Via Cesare Pavese,Genoa,Regione Liguria,16100
1784,VITTORINI 1/,,44.429882,8.794176,,,Via Elio Vittorini,Genoa,Regione Liguria,16100
1785,VITTORINI 2/,,44.431728,8.794281,,,Via Elio Vittorini,Genoa,Regione Liguria,16100
1786,QUASIMODO 3/,,44.431717,8.792650,,,Via Salvatore Quasimodo,Genoa,Regione Liguria,16100
1787,QUASIMODO 4/FINALE,,44.429840,8.792135,,,Via Salvatore Quasimodo,Genoa,Regione Liguria,16100
1788,UNGARETTI 6/,,44.427109,8.796749,,,Via Giuseppe Ungaretti,Genoa,Regione Liguria,16100
1789,UNGARETTI 8/PRA',,44.425060,8.798975,,,Via Giuseppe Ungaretti,Genoa,Regione Liguria,16100
1790,PEGLI FS/MUSEI PALLAVICINI,,44.425758,8.817043,,,Piazza Amilcare Ponchielli,Genoa,Regione Liguria,16100
1791,ROVETTA 1/MARTIRI LIBERTA',,44.427105,8.812417,,,Via Gerolamo Rovetta,Genoa,Regione Liguria,16100
1792,RIZZO 1/REXELLO,,44.427841,8.810724,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
1793,RIZZO 2/SALGARI,,44.428711,8.809089,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
1794,RIZZO 3/GIARDINO FIORITO,,44.429138,8.808904,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
1795,GLICINI/,,44.429726,8.807783,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
1796,SALGARI 2/,,44.429855,8.806821,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1797,SALGARI 3/,,44.429798,8.806162,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1798,SALGARI 4/,,44.429848,8.805158,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1799,SALGARI 5/UNGARETTI,,44.430927,8.805144,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1800,SALGARI 6/LORENZINI,,44.433998,8.806356,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1801,SALGARI 7/,,44.434315,8.807539,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1802,SALGARI 8/LORENZINI,,44.433960,8.806129,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1803,SALGARI 9/,,44.434605,8.805098,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1804,SALGARI 10/,,44.435600,8.809681,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1805,SALGARI 11/,,44.434971,8.810132,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1806,SALGARI 12/,,44.435806,8.809686,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1807,SALGARI 13/,,44.434788,8.804996,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1808,SALGARI 14/UNGARETTI,,44.430923,8.805053,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1809,SALGARI 15/,,44.429634,8.805369,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1810,SALGARI 16/,,44.429974,8.806149,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1811,SALGARI 17/,,44.429535,8.807121,,,Via Emilio Salgari,Genoa,Regione Liguria,16100
1812,RIZZO 1/SALGARI,,44.428596,8.808540,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
1813,RIZZO 2/REXELLO,,44.427631,8.811073,,,Via Luigi Rizzo,Genoa,Regione Liguria,16100
